state,FamilyMaleDonors,FamilyFemaleDonors,ReplacementMaleDonors,ReplacementFemaleDonors,VoluntaryMaleDonors,VoluntaryFemaleDonors
Andhra Pradesh,13313,39,37254,136,231997,2838
Arunachal Pradesh,0,0,523,31    ,1148,188
Assam,12968,336,34684,580,34281,769
Bihar,15118,679,48.253,1586,24629,1132
Chhattisgarh,7595,87,42885,542,28848,845
Delhi,10542,417,39401,981,24977,1055
Goa,55,14,2924,346,5690,1682
Gujarat,6201,314,85915,882,288882,9240
Haryana,7624,203,49889,1055,136944,4708
Himachal Pradesh,914,13,2961,77,15515,812
Jammu and Kashmir,4678,2,10385,48,22521,231
Jharkhand,9219,137,34327,382,47019,1626
Karnataka,11372,248,45789,1251,262256,11047
Kerala,12689,232,32449,420,147031,3973
Madhya Pradesh,10338,207,48464,1134,144298,4295
Maharashtra,1369,63,4360,245,509744,22560
Manipur,1264,188,7003,510,1703,244
Meghalaya,1303,39,3710,162,1900,134
Mizoram,9,9,13.23,198,8873,2373
Nagaland,1767,169,988,142,1038,359
Odisha,959,27,36687,823,106998,7862
Punjab,7361,126,10457,160,155531,2764
Rajasthan,38254,212,80225,491,230605,7179
Sikkim,0,0,414,44,746,223
Tamil Nadu,7295,395,22222,735,327238,5583
Tripura,49,4,5523,124,5190,338
Uttar Pradesh,95704,2523,245343,5140,150680,9197
Uttarakhand,3495,127,16965,293,45216,1668
West Bengal,10096,878,105090,6052,352535,73033
