States/UTs,Area,WomenMildlyElevatedBloodPressure(Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)
India,Urban,13.6,5.2,23.6,17.1,5.9,26.6
India,Rural,11.9,5.2,20.2,15,5.5,22.7
India,Total,12.4,5.2,21.3,15.7,5.7,24
Andaman & Nicobar Islands,Urban,12.6,5,23.4,17.6,6.5,28.2
Andaman & Nicobar Islands,Rural,16.9,4.8,26.4,22.1,6.4,31.2
Andaman & Nicobar Islands,Total,15.3,4.9,25.3,20.6,6.5,30.2
Andhra Pradesh,Urban,14.4,6.2,27.5,19.2,7.4,32.2
Andhra Pradesh,Rural,13.2,5.8,24.3,16.9,6.9,27.6
Andhra Pradesh,Total,13.6,5.9,25.3,17.6,7.1,29
Arunachal Pradesh,Urban,16.1,6.8,25.3,23.1,8.5,33.2
Arunachal Pradesh,Rural,16.5,6.7,24.8,22.8,9.1,33.1
Arunachal Pradesh,Total,16.4,6.7,24.9,22.8,9,33.1
Assam,Urban,12,5.1,22.5,13.8,5.3,23.8
Assam,Rural,10.8,4.7,18.5,12.7,4.2,19.6
Assam,Total,11,4.8,19.1,12.9,4.4,20.3
Bihar,Urban,9,3.2,16.6,11.7,4.2,19.5
Bihar,Rural,8.6,3.7,15.8,11,4.3,18.1
Bihar,Total,8.7,3.6,15.9,11.2,4.3,18.4
Chandigarh,Urban,14.4,5.5,25,18.6,8.6,30.6
Chandigarh,Rural,-20,-6.7,-30,-19.2,-15.4,-34.6
Chandigarh,Total,14.5,5.6,25,18.7,8.7,30.6
Chhattisgarh,Urban,14.6,5.7,23.5,19.5,6.3,27.8
Chhattisgarh,Rural,14.9,7.1,23.6,18.9,7.8,27.7
Chhattisgarh,Total,14.8,6.8,23.6,19,7.5,27.7
