state,MaleDonors,FemaleDonors
Andhra Pradesh,16857,80
Arunachal Pradesh,0,0
Assam,12968,336
Bihar,15118,679
Chhattisgarh,7595,87
Delhi,10542,417
Goa,55,14
Gujarat,6201,314
Haryana,7624,203
Himachal Pradesh,914,13
Jammu and Kashmir,4678,2
Jharkhand,9219,137
Karnataka,11372,248
Kerala,12689,232
Madhya Pradesh,10338,207
Maharashtra,1369,63
Manipur,1264,188
Meghalaya,1303,39
Mizoram,9,9
Nagaland,1767,169
Odisha,959,27
Punjab,7361,126
Rajasthan,38254,212
Sikkim,0,0
Tamil Nadu,7295,395
Tripura,49,4
Uttar Pradesh,95704,2523
Uttarakhand,3495,127
West Bengal,10096,878
