state,MaleDonors,FemaleDonors
Andhra Pradesh,85148,537
Arunachal Pradesh,523,31
Assam,34684,580
Bihar,48.253,1586
Chhattisgarh,42885,542
Delhi,39401,981
Goa,2924,346
Gujarat,85915,882
Haryana,49889,1055
Himachal Pradesh,2961,77
Jammu and Kashmir,10385,48
Jharkhand,34327,382
Karnataka,45789,1251
Kerala,32449,420
Madhya Pradesh,48464,1134
Maharashtra,4360,245
Manipur,7003,510
Meghalaya,3710,162
Mizoram,13.23,198
Nagaland,988,142
Odisha,36687,823
Punjab,10457,160
Rajasthan,80225,491
Sikkim,414,44
Tamil Nadu,22222,735
Tripura,5523,124
Uttar Pradesh,245343,5140
Uttarakhand,16965,293
West Bengal,105090,6052
