state,MaleDonors,FemaleDonors
Andhra Pradesh,167264,1657
Arunachal Pradesh,779,54
Assam,31023,444
Bihar,16.228,564
Chhattisgarh,21301,379
Delhi,15412,748
Goa,1006,186
Gujarat,126326,1951
Haryana,55076,2137
Himachal Pradesh,6846,263
Jammu and Kashmir,20052,94
Jharkhand,23814,476
Karnataka,159891,3950
Kerala,128489,2754
Madhya Pradesh,100337,1795
Maharashtra,129971,4688
Manipur,677,96
Meghalaya,1257,49
Mizoram,3914,746
Nagaland,605,260
Odisha,18874,665
Punjab,97943,1094
Rajasthan,59158,1904
Sikkim,130,49
Tamil Nadu,282057,3703
Tripura,877,24
Uttar Pradesh,108811,5308
Uttarakhand,18243,562
West Bengal,30720,2861
