State,TotalVoluntary,Replacement,Annual,VBDPercentage
Andhra Pradesh,335376,144657,480033,69.9
Arunachal Pradesh,5021,12,5033,99.8
Assam,103435,112331,215766,47.9
Bihar,88241,85850,174091,50.7
Chhattisgarh,90335,113133,203468,44.4
Delhi,243596,302420,546016,44.6
Goa,15333,4293,19626,78.1
Gujarat,627156,181318,808474,77.6
Haryana,229561,106520,336081,68.3
Himachal Pradesh,32260,7386,39646,81.4
Jammu and Kashmir,47643,35856,83499,57.1
Jharkhand,83659,80266,163925,51
Karnataka,565844,210173,776017,72.9
Kerala,400473,83964,484437,82.7
Madhya Pradesh,378906,132199,511105,74.1
Maharashtra,1481484,49962,1531446,96.7
Manipur,9060,13030,22090,41
Meghalaya,5178,8358,13536,38.3
Mizoram,18543,6115,24658,75.2
Nagaland,7038,2017,9055,77.7
Odisha,277932,107636,385568,72.1
Punjab,277166,135312,412478,67.2
Rajasthan,436800,229748,666548,65.5
Sikkim,4212,2210,6422,65.6
Tamil Nadu,786626,58282,844908,93.1
Telangana,265857,159507,425364,62.5
Tripura,30304,1546,31850,95.1
Uttar Pradesh,416965,660231,1077196,38.7
Uttarakhand,97352,13327,110679,88
West Bengal,907369,187276,1094645,82.9
INDIA,8378692,3267099,11645791,71.9
