Country,Population,O_POSITIVE,A_POSITIVE,B_POSITIVE,AB_POSITIVE,O_NEGATIVE,A_NEGATIVE,B_NEGATIVE,AB_NEGATIVE
Albania,"3,074,579",34.1%,31.2%,14.5%,5.2%,6.0%,5.5%,2.6%,0.9%
Algeria,"43,576,691",40.0%,30.0%,15.0%,4.25%,6.6%,2.3%,1.1%,0.75%
Argentina,"45,479,118",48.9%,31.54%,8.0%,2.45%,4.9%,3.16%,0.8%,0.25%
Armenia,"3,021,324",29.0%,46.3%,12.0%,5.6%,2.0%,3.7%,1.0%,0.4%
Australia,"25,466,459",38.0%,32.0%,12.0%,4.0%,7.0%,6.0%,2.0%,1.0%
Austria,"8,859,449",30.0%,37.0%,12.0%,5.0%,6.0%,7.0%,2.0%,0.45%
Azerbaijan,"10,205,810",29.8%,30.0%,21.1%,9.0%,3.3%,3.4%,2.4%,1.0%
Bahrain,"1,505,003",48.48%,19.35%,22.61%,3.67%,3.27%,1.33%,1.04%,0.25%
Bangladesh,"164,098,818",29.21%,26.3%,33.12%,9.59%,0.53%,0.48%,0.6%,0.17%
Belarus,"9,441,842",32.3%,30.6%,15.3%,6.8%,5.7%,5.4%,2.7%,1.2%
Belgium,"11,720,716",38.0%,34.0%,8.5%,4.0%,7.0%,6.0%,1.5%,1.0%
Bhutan,"857,423",38.15%,29.27%,23.86%,8.41%,0.06%,0.04%,0.04%,0.01%
Bolivia,"11,639,909",51.53%,29.45%,10.11%,1.15%,4.39%,2.73%,0.54%,0.1%
Bosnia and Herzegovina,"3,835,586",31.0%,36.0%,12.0%,6.0%,5.0%,7.0%,2.0%,1.0%
Brazil,"211,715,973",36.0%,34.0%,8.0%,2.5%,9.0%,8.0%,2.0%,0.5%
Bulgaria,"6,966,899",28.0%,37.4%,12.8%,6.8%,5.0%,6.6%,2.2%,1.2%
Burkina Faso,"21,382,659",39.94%,20.79%,26.34%,5.17%,3.36%,1.75%,2.22%,0.43%
Cambodia,"16,926,984",46.7%,27.2%,18.5%,4.9%,1.3%,0.8%,0.5%,0.1%
Cameroon,"27,744,989",46.83%,24.15%,21.06%,4.29%,1.79%,0.92%,0.8%,0.16%
Canada,"37,694,085",39.0%,36.0%,7.6%,2.5%,7.0%,6.0%,1.4%,0.5%
Chile,"18,186,770",56.62%,27.16%,8.78%,1.90%,3.29%,1.63%,0.49%,0.13%
Colombia,"49,084,841",56.3%,26.11%,7.28%,1.47%,5.13%,2.7%,0.7%,0.31%
Costa Rica,"5,097,988",49.7%,28.5%,12.4%,3.0%,3.4%,1.9%,0.9%,0.2%
