name,parent,value
Origin,,
"Blood is screened for AIDS, Hepatitis B and C before transfusion",Origin,49
All surgical procedures require blood transfusion,Origin,39
Blood can be used in cancer treatment,Origin,55
Blood is required in emergencies,Origin,56
Blood can be stored,Origin,92
Blood can be donated while keeping a fast,Origin,29
A token gift/money should be given to donors,Origin,30
Blood should be imported from abroad,Origin,6
"I will donate blood if a family, relative, or friend needs",Origin,53
I would donate blood if blood donation camp arrange in the university premises,Origin,70
